мұржа,мұржасындағы,
Мəдени,Мəдени,
мәдени_ойын_сауық,"мәдени-ойын сауық, Мәдени ойын-сауық",
нан,нан,
немесе,немесе,
нұсқау,нұсқауларын,
оба,Обамен,
объект,"объектіде, объектідегі, объектілерде, объектілердегі, объектілердің, объектілерінде, объектілеріндегі, объектісінде, объектісіндегі",
оқ_дәрі,"оқ-дəріден, оқ-дəрілер, оқ-дəрілерді, оқ-дəрінен",
оқиға,оқиға,
оны,оның,
организм,организмдерінің,
Орман,Орман,
орын,"орнының, орындарда, орындардағы, орындарында, орындарындағы",
орындау,орындаңыздар,
өзге,Өзге,
өзен,"өзен, Өзендегі, Өзендерде, өзені, өзенінде",
өлім,өлімге,
өмір,"өміріңіз, тіршілікті",
өндеу,өндеу,
өндіріс,"өндіріс, Өндірістік, өндіру, өндіруші",
өнеркəсіп,"өнеркəсібі, өнеркəсіп, Өнеркəсіптік",
өнім,"өнімдері, өнімдерімен",
өңдеу,"өңдеу, өңдейтін",
өрт,"өрт, өрті, өртінің",
Өсімдік,Өсімдіктер,
өсу,өсті,саны өсті
өту,өтетін,
өткел,өткелдерінде,
өткізу,өткізілуде,Проводится
пайдалану,пайдалануға,
пайдалы,пайдалы,пайдалы қазба
Пандемия,Пандемия,
пойыз,пойыздарындағы,
порттық,порттық,
Профилактикалық,Профилактикалық,
пункт,пункттері,
радиация,"радиация, радиациялық",
Радио,Радио,
Радиоактивті,Радиоактивті,
телевизор,тв,
реконструкция,реконструкцияланған,
Республика,Республиканың,
сабақ,сабақ,
Сақтау,сақтау,
сабыр_сақтау,Сабыр сақтауды,
өтінеміз,сұраймыз,
сала,"сала, салада, саладағы, салаларында, саласында, саласының, ",
тыйым_салу,"тыйым салынады, тыйым салынған",тыйым салынады
құрылыс,"салынған, салынып жатқан",
сан,саны,
сары,сары,
Сауда,Сауда,
себеп,себебінен,
сектор,"секторында, секторындағы",
сел,сел,
сең,"сең, сеңнің",
сіз,Сіздің,
тағы,сондай-ақ,
сөндіру,"сөндіріледі, сөндіру",
станция,станциясындағы,
Су,"Су, суға, суда, судан, суды, судың, суларында, сумен",
суармалы,суармалы,
сүзек,сүзекпен,
сынып,сыныптарында,
Сырғыма,Сырғыма,
темір_жол,"т/ж, теміржол",
табиғи,табиғи,
тағам,тағам,
тазалау,тазалау,
таралу,"таралу, таралған, таралды, таралуы, таралуымен, таралып",
тартым,тартымды,тяга
тас,тас,
тасымалдау,таситын,
тасқын,"тасқындарының, тасқыны",
тастау,тастайтын,
тасығыш,тасығышы,ракета носитель
тау,тау,
кен,кен,
Тауар,Тауар,
тексеру,тексеріңіз,
телекоммуникация,телекоммуникациялар,
Телерадио,Телерадио,
телефон,телефондары,
Теңіз,"Теңіз, Теңізге, Теңізде, Теңіздегі",
тербелу,"тербелу, тербелуі",
террорлық,террорлық,
техникалық,"техникалық, технологиялық",
тіркеу,тіркелді,
тоқтатылу,тоқтатылды,отмена
тоқтау,"тоқтау, тоқтауы", сеңнің тоқтауы
толқын,"толқын, толқындар, толқындарырың",
толтыру,"толтыру, толу, толуы",
топырақ,"топырақ, топырақтағы",
төмен,төмен,
төндіру,төндіретін,қатер төндіретін
туннел,туннелінің,
туралы,туралы,
туындау,туындады,
түр,түріндегі,газ түріндегі
түсіру,түсіру,
Түтін,Түтін,
Тұман,Тұман,
тұрғын,тұрғын,Тұрғын үй
Тұрмыстық,Тұрмыстық,
тұру,"тұру, тұруы","толқын тұру, мұз толқын тұру, жел тұру"
тұтастық,тұтастығының,
тұтынушы,тұтынушы,
тырысқақ,тырысқақ,ауру түрі
тыс,тыс,басқа
уақыт,уақытқа,
уақытылы,уақытылы,
уландырғыш,Уландырғыш,
улану,"улану, улануы",
улы,улы,
үй,"үй, үйлерде, үйлердегі, үйде",
Ұзақ,Ұзақ,
ұйытқу,"ұйытқу, ұйытқуы",
ұңғыма,ұңғымалардағы,
Ұшу,Ұшу,Ұшу аппараты
хабар,хабар,
Хабарлама,Хабарлама,
халық,"халыққа, халықты",
Химиялық,Химиялық,
шалдығу,"шалдығу, шалдығуы",
шаруашылық,"шаруашылығы, шаруашылық",
шахта,"Шахталарда, шахталардағы",
шектелу,"шектеледі, шектеу, шектеуі, шектеулі ",ограничивать
шекті,шекті,ограниченный
шешек,шешек,
шоғырлану,шоғырлануы,
шомылу,шомылуға,
Шөгінді,Шөгінділер,
шығарынды,шығарындылар,Выбросы
шығу,"шығу, шыққан","газ шығу, өрт шығу, ауру шығу и тд"
ықтимал,ықтимал,
ыстық,ыстық,
Эбола,Эбола,
эвакуациялау,эвакуациялау,
Экзотикалық,Экзотикалық,
Электр,Электр,
электростанция,электростанциясындағы,
элемент,элементтерінің,
энергетикалық,энергетикалық,электр энергетикалық
энергия,"энергиясы, энергиясын",
энергожүйе,энергожүйесі,
эпидемиялық,эпидемиялық,
этиология,"этиологиядағы, этиологиясы",
әкелу,әкеледі,өлімге әкеледі
əкімшілік,əкімшілік,
қоғамдық,қоғамдық,
əсер,əсер,
қала,қ.
қала,қ
градус,°
